sample	group	timepoint	depth	flume	treatment	timepoint_color	treatment_color	flume_color	depth_color	depth_pch
F4N1	Environmental	NA	NA	NA	NA	#4ba638	#4ba638	#4ba638	#4ba638	0
F4N5	Environmental	NA	NA	NA	NA	#4ba638	#4ba638	#4ba638	#4ba638	0
F5N4	Environmental	NA	NA	NA	NA	#4ba638	#4ba638	#4ba638	#4ba638	0
F6	Environmental	NA	NA	NA	NA	#4ba638	#4ba638	#4ba638	#4ba638	0
F8	Environmental	NA	NA	NA	NA	#4ba638	#4ba638	#4ba638	#4ba638	0
FA1	Environmental	NA	NA	NA	NA	#4ba638	#4ba638	#4ba638	#4ba638	0
FA2	Environmental	NA	NA	NA	NA	#4ba638	#4ba638	#4ba638	#4ba638	0
FA3	Environmental	NA	NA	NA	NA	#4ba638	#4ba638	#4ba638	#4ba638	0
FPS	Environmental	NA	NA	NA	NA	#4ba638	#4ba638	#4ba638	#4ba638	0
P1	T1_F1_P	T1	0-1mm	F1	P	#000000	#e35b5b	#000000	#000000	15
P2	T1_F1_P	T1	1-2mm	F1	P	#000000	#e35b5b	#000000	#3978e6	16
P3	T1_F1_P	T1	2-3mm	F1	P	#000000	#e35b5b	#000000	#e35b5b	17
P4	T1_F1_P	T1	3-4mm	F1	P	#000000	#e35b5b	#000000	#634608	18
P5	T1_F2_N	T1	0-1mm	F2	N	#000000	#3978e6	#3978e6	#000000	15
P6	T1_F2_N	T1	1-2mm	F2	N	#000000	#3978e6	#3978e6	#3978e6	16
P7	T1_F2_N	T1	2-3mm	F2	N	#000000	#3978e6	#3978e6	#e35b5b	17
P8	T1_F2_N	T1	3-4mm	F2	N	#000000	#3978e6	#3978e6	#634608	18
P9	T1_F3	T1	0-1mm	F3	Control	#000000	#000000	#e35b5b	#000000	15
P10	T1_F3	T1	1-2mm	F3	Control	#000000	#000000	#e35b5b	#3978e6	16
P11	T1_F3	T1	2-3mm	F3	Control	#000000	#000000	#e35b5b	#e35b5b	17
P12	T1_F3	T1	3-4mm	F3	Control	#000000	#000000	#e35b5b	#634608	18
P13	T1_F4_P	T1	0-1mm	F4	P	#000000	#e35b5b	#634608	#000000	15
P14	T1_F4_P	T1	1-2mm	F4	P	#000000	#e35b5b	#634608	#3978e6	16
P15	T1_F4_P	T1	2-3mm	F4	P	#000000	#e35b5b	#634608	#e35b5b	17
P16	T1_F4_P	T1	3-4mm	F4	P	#000000	#e35b5b	#634608	#634608	18
P17	T1_F5_N	T1	0-1mm	F5	N	#000000	#3978e6	#570959	#000000	15
P18	T1_F5_N	T1	1-2mm	F5	N	#000000	#3978e6	#570959	#3978e6	16
P19	T1_F5_N	T1	2-3mm	F5	N	#000000	#3978e6	#570959	#e35b5b	17
P20	T1_F5_N	T1	3-4mm	F5	N	#000000	#3978e6	#570959	#634608	18
P21	T1_F6	T1	0-1mm	F6	Control	#000000	#000000	#268078	#000000	15
P22	T1_F6	T1	1-2mm	F6	Control	#000000	#000000	#268078	#3978e6	16
P23	T1_F6	T1	2-3mm	F6	Control	#000000	#000000	#268078	#e35b5b	17
P24	T1_F6	T1	3-4mm	F6	Control	#000000	#000000	#268078	#634608	18
P25	T2_F1_P	T2	0-1mm	F1	P	#3978e6	#e35b5b	#000000	#000000	15
P26	T2_F1_P	T2	1-2mm	F1	P	#3978e6	#e35b5b	#000000	#3978e6	16
P27	T2_F1_P	T2	2-3mm	F1	P	#3978e6	#e35b5b	#000000	#e35b5b	17
P28	T2_F1_P	T2	3-4mm	F1	P	#3978e6	#e35b5b	#000000	#634608	18
P29	T2_F2_N	T2	0-1mm	F2	N	#3978e6	#3978e6	#3978e6	#000000	15
P30	T2_F2_N	T2	1-2mm	F2	N	#3978e6	#3978e6	#3978e6	#3978e6	16
P31	T2_F2_N	T2	2-3mm	F2	N	#3978e6	#3978e6	#3978e6	#e35b5b	17
P32	T2_F2_N	T2	3-4mm	F2	N	#3978e6	#3978e6	#3978e6	#634608	18
P33	T2_F3	T2	0-1mm	F3	Control	#3978e6	#000000	#e35b5b	#000000	15
P34	T2_F3	T2	1-2mm	F3	Control	#3978e6	#000000	#e35b5b	#3978e6	16
P35	T2_F3	T2	2-3mm	F3	Control	#3978e6	#000000	#e35b5b	#e35b5b	17
P36	T2_F3	T2	3-4mm	F3	Control	#3978e6	#000000	#e35b5b	#634608	18
P37	T2_F4_P	T2	0-1mm	F4	P	#3978e6	#e35b5b	#634608	#000000	15
P38	T2_F4_P	T2	1-2mm	F4	P	#3978e6	#e35b5b	#634608	#3978e6	16
P39	T2_F4_P	T2	2-3mm	F4	P	#3978e6	#e35b5b	#634608	#e35b5b	17
P40	T2_F4_P	T2	3-4mm	F4	P	#3978e6	#e35b5b	#634608	#634608	18
P41	T2_F5_N	T2	0-1mm	F5	N	#3978e6	#3978e6	#570959	#000000	15
P42	T2_F5_N	T2	1-2mm	F5	N	#3978e6	#3978e6	#570959	#3978e6	16
P43	T2_F5_N	T2	2-3mm	F5	N	#3978e6	#3978e6	#570959	#e35b5b	17
P44	T2_F5_N	T2	3-4mm	F5	N	#3978e6	#3978e6	#570959	#634608	18
P45	T2_F6	T2	0-1mm	F6	Control	#3978e6	#000000	#268078	#000000	15
P46	T2_F6	T2	1-2mm	F6	Control	#3978e6	#000000	#268078	#3978e6	16
P47	T2_F6	T2	2-3mm	F6	Control	#3978e6	#000000	#268078	#e35b5b	17
P48	T2_F6	T2	3-4mm	F6	Control	#3978e6	#000000	#268078	#634608	18
P49	T3_F1_P	T3	0-1mm	F1	P	#e35b5b	#e35b5b	#000000	#000000	15
P50	T3_F1_P	T3	1-2mm	F1	P	#e35b5b	#e35b5b	#000000	#3978e6	16
P51	T3_F1_P	T3	2-3mm	F1	P	#e35b5b	#e35b5b	#000000	#e35b5b	17
P52	T3_F1_P	T3	3-4mm	F1	P	#e35b5b	#e35b5b	#000000	#634608	18
P53	T3_F2_N	T3	0-1mm	F2	N	#e35b5b	#3978e6	#3978e6	#000000	15
P54	T3_F2_N	T3	1-2mm	F2	N	#e35b5b	#3978e6	#3978e6	#3978e6	16
P55	T3_F2_N	T3	2-3mm	F2	N	#e35b5b	#3978e6	#3978e6	#e35b5b	17
P56	T3_F2_N	T3	3-4mm	F2	N	#e35b5b	#3978e6	#3978e6	#634608	18
P57	T3_F3	T3	0-1mm	F3	Control	#e35b5b	#000000	#e35b5b	#000000	15
P58	T3_F3	T3	1-2mm	F3	Control	#e35b5b	#000000	#e35b5b	#3978e6	16
P59	T3_F3	T3	2-3mm	F3	Control	#e35b5b	#000000	#e35b5b	#e35b5b	17
P60	T3_F3	T3	3-4mm	F3	Control	#e35b5b	#000000	#e35b5b	#634608	18
P61	T3_F4_P	T3	0-1mm	F4	P	#e35b5b	#e35b5b	#634608	#000000	15
P62	T3_F4_P	T3	1-2mm	F4	P	#e35b5b	#e35b5b	#634608	#3978e6	16
P63	T3_F4_P	T3	2-3mm	F4	P	#e35b5b	#e35b5b	#634608	#e35b5b	17
P64	T3_F4_P	T3	3-4mm	F4	P	#e35b5b	#e35b5b	#634608	#634608	18
P65	T3_F5_N	T3	0-1mm	F5	N	#e35b5b	#3978e6	#570959	#000000	15
P66	T3_F5_N	T3	1-2mm	F5	N	#e35b5b	#3978e6	#570959	#3978e6	16
P67	T3_F5_N	T3	2-3mm	F5	N	#e35b5b	#3978e6	#570959	#e35b5b	17
P68	T3_F5_N	T3	3-4mm	F5	N	#e35b5b	#3978e6	#570959	#634608	18
P69	T3_F6	T3	0-1mm	F6	Control	#e35b5b	#000000	#268078	#000000	15
P70	T3_F6	T3	1-2mm	F6	Control	#e35b5b	#000000	#268078	#3978e6	16
P71	T3_F6	T3	2-3mm	F6	Control	#e35b5b	#000000	#268078	#e35b5b	17
P72	T3_F6	T3	3-4mm	F6	Control	#e35b5b	#000000	#268078	#634608	18
